전체주중주말,주운행선,Date,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,접종완료자수,확진자수,정부대응정도,코로나진행정도,사망자수,격리된자수,국가이동제한정도,접종시작자수,경제활동인구_원자료,경제활동인구_전기대비증감,경제활동인구_전년동기대비증감,경제활동인구_이동평균(3기간),실업률_원자료,실업률_전기대비증감,실업률_전년동기대비증감,실업률_이동평균(3기간),15세이상인구_원자료,15세이상인구_전기대비증감,15세이상인구_전년동기대비증감,15세이상인구_이동평균(3기간),비경제활동인구_원자료,비경제활동인구_전기대비증감,비경제활동인구_전년동기대비증감,비경제활동인구_이동평균(3기간),경제활동참가율_원자료,경제활동참가율_전기대비증감,경제활동참가율_전년동기대비증감,경제활동참가율_이동평균(3기간),고용률_원자료,고용률_전기대비증감,고용률_전년동기대비증감,고용률_이동평균(3기간),소비자심리지수_원자료,소비자심리지수_전기대비증감,소비자심리지수_전년동기대비증감,소비자심리지수_이동평균(3기간),총지수_원자료,총지수_전기대비증감,총지수_전년동기대비증감,총지수_이동평균(3기간),운송장비_원자료,운송장비_전기대비증감,운송장비_전년동기대비증감,운송장비_이동평균(3기간),개인운송장비 운영_원자료,개인운송장비 운영_전기대비증감,개인운송장비 운영_전년동기대비증감,개인운송장비 운영_이동평균(3기간),철도 여객수송_원자료,철도 여객수송_전기대비증감,철도 여객수송_전년동기대비증감,철도 여객수송_이동평균(3기간),도로 여객수송_원자료,도로 여객수송_전기대비증감,도로 여객수송_전년동기대비증감,도로 여객수송_이동평균(3기간),항공 및 수상여객운송_원자료,항공 및 수상여객운송_전기대비증감,항공 및 수상여객운송_전년동기대비증감,항공 및 수상여객운송_이동평균(3기간),기타 여객운송_원자료,기타 여객운송_전기대비증감,기타 여객운송_전년동기대비증감,기타 여객운송_이동평균(3기간),내국인출입국_전체,내국인출입국_공항,내국인출입국_항구,외래객입국사유_전체,외래객입국사유_관광,외래객입국사유_상용,외래객입국사유_공융,외래객입국사유_유학연수,외래객입국사유_기타,출생아수(명),사망자수(명),자연증가건수(명),조출생률(천명당),조사망률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),News_Count,Sentiment
주말,경부선,2015-01-01,14,14,0,0,0,34020,1741181,1871129,496684.4938,37822.85989,533787.0925,15.05479435,183.879705,9.691638546,0,218,0,6,212,84,84,154,1991,13164.71383,0,0,0,0,0,0,0,0,26380,-188,439,26540,3.7,0.4,0.3,3.8,43040,36,470,43042,16660,224,31,16502,61.3,-0.5,0.4,61.7,59,-0.7,0.2,59.3,103.2,1.5,-7,102.9,94.643,0.637,0.913,94.4,101.336,0.534,-0.012,100.9,106.239,-8.126,-20.973,107.6,91.619,1.981,1.981,91,85.896,0.124,0.403,85.9,98.721,-1.15,-8.58,97.7,90.656,0.873,5.156,90.7,1834538,1752505,82033,917054,723255,17686,3094,7752,165267,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,74,10
주말,경부선,2015-02-01,12,12,0,1,1,28992,1488544,1533571,434612.9461,32762.0874,447295.7995,12.36134239,159.1958766,8.033689554,0,188,46,6,136,72,72,132,1705,10793.21324,0,0,0,0,0,0,0,0,26671,291,379,26630,4.5,0.8,0,4.1,43081,41,465,43079,16410,-250,86,16449,61.9,0.6,0.2,61.8,59.1,0.1,0.2,59.3,103.9,0.7,-5.3,103,94.587,-0.056,0.607,94.6,100.706,-0.63,-0.493,100.8,102.071,-4.168,-24.853,104.6,91.619,0,1.981,91.6,85.896,0,0.308,85.9,94.413,-4.308,-8.978,94.1,91.516,0.86,3.118,91.3,1445609,1380698,64911,1050706,815138,14354,2256,36399,182559,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,118,9
주말,경부선,2015-03-01,13,13,0,1,0,31246,1607627,1780862,454810.9166,34157.90687,503277.6053,14.39953763,173.1093386,9.011709796,0,196,0,0,196,78,78,143,1837,12604.74251,0,0,0,0,0,0,0,0,26840,169,352,26905,4,-0.5,0.1,4.1,43117,36,461,43118,16277,-133,109,16213,62.2,0.3,0.1,62.4,59.8,0.7,0.1,59.8,102,-1.9,-7.7,103.6,94.596,0.009,0.443,94.6,100.405,-0.301,-0.476,100.4,105.515,3.444,-21.49,104.4,91.619,0,1.981,91.6,85.896,0,0.271,85.9,89.082,-5.331,-11.634,91.5,91.589,0.073,3.858,91.6,1416683,1351433,65250,1238144,958493,18549,3241,27129,230732,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,76,24
주말,경부선,2015-04-01,12,12,0,0,0,28848,1491483,1681821,424444.3546,31774.29779,478264.4959,13.52845367,160.2953867,8.596620007,0,195,0,0,195,72,72,132,1656,12186.13034,0,0,0,0,0,0,0,0,27204,364,186,27166,3.9,-0.1,0.1,3.9,43157,40,460,43156,15953,-324,274,15990,63,0.8,-0.3,62.9,60.6,0.8,-0.3,60.5,104.9,2.9,-4.8,104.4,94.625,0.029,0.411,94.7,100.135,-0.27,-1.094,100.2,105.494,-0.021,-20.925,106,91.619,0,1.981,91.6,85.896,0,0.271,85.9,91.062,1.98,-11.466,91.2,91.571,-0.018,3.741,91.5,1495460,1418424,77036,1384567,1112904,17326,4913,5556,243868,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,80,10
주말,경부선,2015-05-01,15,15,0,0,0,36102,1863967,2144330,531982.0939,40218.49724,611756.68,17.25137877,198.4818646,11.11625345,0,250,0,4,246,90,90,165,2072,15522.61846,0,0,0,0,0,0,0,0,27453,249,387,27382,3.7,-0.2,0.2,3.8,43194,37,453,43194,15741,-212,67,15813,63.6,0.6,0.3,63.4,61.2,0.6,0.1,61,106.3,1.4,1,103.3,94.89,0.265,0.521,94.8,100.085,-0.05,-1.383,100,107.005,1.511,-19,107.1,91.619,0,1.981,91.6,85.896,0,0.271,85.9,93.559,2.497,-9.548,92.8,91.461,-0.11,3.567,91.4,1579265,1492278,86987,1334212,1060730,19010,4679,9222,240571,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,73,13
주말,경부선,2015-06-01,12,12,0,1,0,28888,1483393,1125689,435541.6216,32015.50981,329390.2799,9.10781223,163.266979,5.818152663,0,196,0,2,194,72,72,132,1658,8147.660548,0,0,0,0,0,0,0,0,27488,35,357,27492,3.8,0.1,0.3,3.7,43232,38,449,43230,15744,3,92,15738,63.6,0,0.2,63.6,61.2,0,0,61.2,98.8,-7.5,-9.3,102,94.909,0.019,0.661,95,99.725,-0.36,-1.653,99.9,108.738,1.733,-16.453,108,91.619,0,1.981,94.3,85.896,0,0.271,87.5,93.671,0.112,-9.977,96.1,91.278,-0.183,3.292,91.4,1373551,1307970,65581,750925,517926,12347,3122,11462,206068,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,60,10
주말,경부선,2015-07-01,13,13,0,0,0,31254,1609540,1549797,469603.3074,35028.81259,451694.9635,12.51588391,174.3239301,8.100472982,0,250,0,0,250,78,78,143,1794,11230.65033,0,0,0,0,0,0,0,0,27536,48,342,27439,3.6,-0.2,0.2,3.6,43265,33,445,43264,15730,-14,104,15826,63.6,0,0.1,63.4,61.3,0.1,-0.1,61.1,100.9,2.1,-4.7,100.6,95.08,0.171,0.694,95.1,99.875,0.15,-1.463,100,108.307,-0.431,-16.62,107.8,99.513,7.894,9.875,96.9,90.653,4.757,5.028,89.2,101.179,7.508,-7.992,98.9,91.315,0.037,3.499,91.4,1675332,1598654,76678,629737,419430,12867,3734,8477,185229,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,61,13
주말,경부선,2015-08-01,14,14,0,1,0,32964,1677929,1773664,521993.0603,37907.38596,551666.3294,14.79931294,192.852962,9.763416256,0,279,0,1,278,84,84,154,1932,12853.02722,0,0,0,0,0,0,0,0,27294,-242,217,27395,3.4,-0.2,0.1,3.4,43296,31,435,43296,16003,273,218,15902,63,-0.6,-0.2,63.2,60.9,-0.4,-0.2,61.1,102.2,1.3,-5.3,102.2,95.213,0.133,0.662,95.1,100.425,0.55,-0.496,99.9,106.491,-1.816,-17.575,106.3,99.513,0,9.875,99.5,90.989,0.336,5.276,90.9,101.818,0.639,-8.511,98,91.58,0.265,3.338,91.6,1835249,1743316,91933,1069314,730808,17385,4207,46365,270549,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,59,13
주말,경부선,2015-09-01,12,12,0,2,2,28394,1461774,1585350,435359.2359,31106.57688,471392.2409,12.99768714,167.9800623,8.210679623,3,246,51,9,189,72,72,132,1674,11353.78074,0,0,0,0,0,0,0,0,27355,61,291,27336,3.2,-0.2,0.1,3.2,43328,32,431,43327,15973,-30,140,15991,63.1,0.1,0,63.1,61.1,0.2,0,61.1,103.5,1.3,-4.9,103.9,94.966,-0.247,0.476,95,99.324,-1.101,-1.656,99.8,104.213,-2.278,-18.062,104.6,99.513,0,9.875,99.5,90.989,0,5.276,91,91.119,-10.699,-12.406,94.7,91.763,0.183,2.96,91.7,1511657,1444939,66718,1206764,907874,16514,4442,20035,257899,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,98,19
주말,경부선,2015-10-01,14,14,0,2,0,32772,1681522,1939094,513922.9053,36892.95624,592221.4932,16.14403921,195.0836976,10.35829532,0,292,0,0,292,84,84,154,1931,14057.73647,0,0,0,0,0,0,0,0,27358,3,250,27337,3.1,-0.1,-0.1,3.1,43357,29,428,43357,15998,25,177,16020,63.1,0,0,63,61.2,0.1,0.1,61.1,106.1,2.6,0.5,105.4,94.966,0,0.761,94.9,99.785,0.461,-1.156,99.6,103.184,-1.029,-17.335,103.1,99.513,0,9.875,99.5,90.989,0,5.217,91,91.306,0.187,-10.938,90.3,91.864,0.101,2.897,91.8,1735308,1654005,81303,1383704,1076153,18270,5404,7929,275948,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,302828,5.9,109153,2.1,34,15
